t,x,y,z,yaw
0.0160,-0.021857,-0.009696,0.119058,-37.6849
0.0320,-0.023489,-0.012149,0.118348,-37.6530
0.0630,-0.022916,-0.011042,0.118797,-37.6710
0.0790,-0.023364,-0.012134,0.119166,-37.6873
0.0940,-0.023484,-0.012950,0.118691,-37.6679
0.1100,-0.023492,-0.011879,0.119521,-37.6946
0.1250,-0.023285,-0.011504,0.119936,-37.7215
0.1570,-0.023287,-0.011484,0.120055,-37.7230
0.1720,-0.023291,-0.011466,0.120178,-37.7220
0.1880,-0.023647,-0.011931,0.118512,-37.6787
0.2040,-0.023668,-0.011597,0.117813,-37.6691
0.2350,-0.023720,-0.011636,0.117607,-37.6683
0.2500,-0.023774,-0.011681,0.117405,-37.6693
0.2660,-0.023831,-0.011725,0.117205,-37.6696
0.2970,-0.024755,-0.013069,0.115874,-37.6394
0.3130,-0.025062,-0.013627,0.115037,-37.6174
0.3290,-0.026450,-0.012949,0.114196,-37.6153
0.3440,-0.027235,-0.012856,0.113447,-37.5822
0.3750,-0.023805,-0.011493,0.117131,-37.6253
0.3910,-0.024480,-0.012131,0.116618,-37.5874
0.4070,-0.024851,-0.012911,0.116199,-37.5645
0.4220,-0.024119,-0.012640,0.117935,-37.5927
0.4540,-0.023873,-0.012569,0.118864,-37.6155
0.4690,-0.023779,-0.012613,0.119536,-37.6250
0.4850,-0.023610,-0.011894,0.120451,-37.6541
0.5160,-0.023667,-0.012554,0.120043,-37.6282
0.5320,-0.023573,-0.013185,0.119353,-37.6071
0.5470,-0.023528,-0.013280,0.119452,-37.6088
0.5630,-0.023475,-0.013379,0.119552,-37.6093
0.5940,-0.023682,-0.012206,0.120871,-37.6435
0.6100,-0.023614,-0.011925,0.121389,-37.6736
0.6250,-0.022692,-0.010770,0.120041,-37.6985
0.6570,-0.023283,-0.011812,0.120334,-37.6976
0.6720,-0.023453,-0.012348,0.120214,-37.7022
0.6880,-0.023538,-0.012306,0.119536,-37.6914
0.7040,-0.023653,-0.012517,0.119634,-37.6963
0.7350,-0.023620,-0.012421,0.119607,-37.6967
0.7500,-0.023588,-0.012324,0.119577,-37.6960
0.7660,-0.023514,-0.012152,0.119002,-37.6813
0.7970,-0.023477,-0.012018,0.118893,-37.6824
0.8130,-0.023657,-0.012918,0.117958,-37.6588
0.8290,-0.023238,-0.011210,0.118614,-37.6701
0.8440,-0.023853,-0.012391,0.118024,-37.6416
0.8750,-0.024074,-0.013163,0.117228,-37.6232
0.8910,-0.024112,-0.013213,0.116938,-37.6219
0.9070,-0.024156,-0.013261,0.116648,-37.6213
0.9220,-0.024820,-0.012281,0.115846,-37.6052
0.9540,-0.025106,-0.011838,0.115245,-37.5809
0.9690,-0.025239,-0.011688,0.114867,-37.5800
0.9850,-0.025372,-0.011532,0.114489,-37.5803
1.0160,-0.026773,-0.012527,0.113423,-37.5589
1.0320,-0.027288,-0.012763,0.112824,-37.5564
1.0470,-0.027594,-0.012781,0.112367,-37.5556
1.0630,-0.028155,-0.012668,0.112192,-37.5298
1.0940,-0.028436,-0.012746,0.112088,-37.5283
1.1100,-0.028666,-0.012640,0.111805,-37.5198
1.1250,-0.024069,-0.011682,0.116992,-37.5661
1.1570,-0.023996,-0.011612,0.117115,-37.5660
1.1720,-0.023837,-0.011274,0.116848,-37.5517
1.1880,-0.022461,-0.010318,0.117849,-37.5917
1.2040,-0.023381,-0.011963,0.118099,-37.5740
1.2350,-0.023284,-0.011512,0.117836,-37.5698
1.2500,-0.023219,-0.011181,0.117574,-37.5479
1.2660,-0.024355,-0.011925,0.116392,-37.5415
1.2820,-0.023639,-0.012224,0.117769,-37.5686
1.3130,-0.023796,-0.013010,0.117432,-37.5510
1.3290,-0.023384,-0.011738,0.118773,-37.5801
1.3600,-0.023677,-0.012719,0.118472,-37.5611
1.3750,-0.023640,-0.012798,0.118586,-37.5619
1.3910,-0.023602,-0.012878,0.118699,-37.5606
1.4070,-0.023621,-0.013875,0.117704,-37.5480
1.4220,-0.023747,-0.012227,0.119754,-37.5823
1.4540,-0.023056,-0.011104,0.119565,-37.6067
1.4690,-0.022325,-0.010380,0.118676,-37.5896
1.4850,-0.022183,-0.010216,0.118724,-37.5888
1.5160,-0.021846,-0.010010,0.118379,-37.5840
1.5320,-0.021671,-0.009836,0.118369,-37.5839
1.5470,-0.021494,-0.009659,0.118365,-37.5830
1.5630,-0.023673,-0.012103,0.117211,-37.5711
1.5940,-0.024036,-0.011737,0.116587,-37.5589
1.6100,-0.024124,-0.011810,0.116385,-37.5577
1.6250,-0.024220,-0.011886,0.116183,-37.5574
1.6570,-0.025305,-0.013172,0.115033,-37.5387
1.6720,-0.026273,-0.012782,0.114372,-37.5266
1.6880,-0.026931,-0.012529,0.113894,-37.5018
1.7040,-0.022969,-0.010697,0.117217,-37.5436
1.7350,-0.022154,-0.010099,0.117666,-37.5798
1.7500,-0.021704,-0.009807,0.117808,-37.5982
1.7660,-0.021439,-0.009617,0.117888,-37.6205
1.7820,-0.021254,-0.009504,0.117932,-37.6392
1.8130,-0.021050,-0.009357,0.117991,-37.6400
1.8290,-0.021104,-0.009213,0.117941,-37.6647
1.8440,-0.020916,-0.009057,0.117981,-37.6635
1.8750,-0.020723,-0.008899,0.118020,-37.6625
1.8910,-0.020880,-0.008893,0.117686,-37.6923
1.9220,-0.022609,-0.011191,0.118799,-37.6578
1.9380,-0.023277,-0.011757,0.118721,-37.6712
1.9540,-0.023593,-0.011965,0.118619,-37.6738
1.9690,-0.024168,-0.012387,0.117778,-37.6602
1.9850,-0.023311,-0.011299,0.118358,-37.6760
2.0160,-0.024032,-0.012102,0.117633,-37.6445
2.0320,-0.023341,-0.011434,0.118523,-37.6714
2.0470,-0.023888,-0.012686,0.118152,-37.6572
2.0790,-0.023362,-0.011477,0.118611,-37.6743
2.0940,-0.023243,-0.011297,0.118138,-37.6662
2.1100,-0.023188,-0.011163,0.117727,-37.6593
2.1250,-0.023250,-0.011285,0.117626,-37.6579
2.1570,-0.022570,-0.010629,0.118498,-37.6851
2.1720,-0.023522,-0.012314,0.118391,-37.6634
2.1880,-0.023862,-0.013430,0.117799,-37.6420
2.2040,-0.023858,-0.012267,0.119354,-37.6700
2.2350,-0.023631,-0.011901,0.120133,-37.6956
2.2500,-0.023532,-0.011770,0.120705,-37.7220
2.2660,-0.023610,-0.011909,0.120981,-37.7211
2.2820,-0.023618,-0.011888,0.121471,-37.7482
2.3130,-0.023728,-0.012563,0.120676,-37.7267
2.3290,-0.023846,-0.012336,0.118775,-37.6963
2.3440,-0.023531,-0.011863,0.119627,-37.7222
2.3750,-0.023589,-0.012012,0.119643,-37.7232
2.3910,-0.023649,-0.012162,0.119662,-37.7207
2.4070,-0.023708,-0.012318,0.119686,-37.7197
2.4220,-0.023956,-0.013527,0.118175,-37.7012
2.4540,-0.024037,-0.013824,0.118009,-37.7005
2.4690,-0.024122,-0.014127,0.117846,-37.7017
2.4850,-0.023486,-0.011663,0.119201,-37.7229
2.5160,-0.023256,-0.011281,0.119735,-37.7549
2.5320,-0.023766,-0.012227,0.119677,-37.7325
2.5470,-0.023582,-0.011823,0.120285,-37.7583
2.5630,-0.022925,-0.010995,0.119630,-37.7601
2.5940,-0.022887,-0.010895,0.119702,-37.7585
2.6100,-0.022407,-0.010318,0.118931,-37.7420
2.6250,-0.023205,-0.011815,0.119311,-37.7361
2.6570,-0.023082,-0.011293,0.119731,-37.7694
2.6720,-0.023062,-0.011232,0.119785,-37.7695
2.6880,-0.023568,-0.012500,0.119204,-37.7428
2.7040,-0.023587,-0.012584,0.119135,-37.7445
2.7350,-0.023681,-0.011898,0.118044,-37.7231
2.7500,-0.023712,-0.011518,0.117261,-37.7146
2.7660,-0.023742,-0.011480,0.117021,-37.7127
2.7820,-0.024813,-0.012705,0.115893,-37.6826
2.8130,-0.023887,-0.012580,0.118082,-37.6990
2.8290,-0.023246,-0.011221,0.118566,-37.7079
2.8440,-0.022852,-0.010872,0.118939,-37.7376
2.8750,-0.022534,-0.010525,0.118551,-37.7169
2.8910,-0.022301,-0.010302,0.118749,-37.7452
2.9070,-0.022202,-0.010206,0.118813,-37.7463
2.9220,-0.022099,-0.010107,0.118884,-37.7453
